Nama Perguruan Tinggi,Jumlah Mahasiswa,Jumlah Dosen,Jumlah Program Studi,Fasilitas Olahraga,Wisma/Asrama/Hotel,Teknologi Informasi,Public Area,PERS Mahasiswa,Asuransi,Gedung Pertemuan,Laboratorium,Poliklinik,Bus Kampus,Kalender Pendidikan,Pusat Pelatihan Bahasa,Perpustakaan,Sarana Ibadah,Free Hotspot,Jumlah Fasilitas,Bus Umum,Restaurant,Tempat Ibadah,Kos/Asrama,Terminal Bus,Café,Tempat Olahraga,Bandara,Mall,Rumah Sakit,Stasiun Kereta,Supermarket,Apotek,Jumlah Tempat Umum Terdekat,Akreditasi,Ranking Nasional
Akademi Maritim Yogyakarta,0.021957123,0.031496063,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.573264781
Politeknik API Yogyakarta,0.010805671,0.01399825,0.044117647,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.616680948
STMIK El Rahma,0.019306132,0.024496938,0.058823529,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.628677521
(STPI) Bina Insan Mulia Yogyakarta,0.004466344,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.635532705
Akademi Kebidanan Ummi Khasanah,0.007203781,0.008748906,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.634104542
Sekolah Tinggi Ilmu Kesehatan Wira Husada,0.028901568,0.035870516,0.058823529,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.628963153
Sekolah Tinggi Pariwisata Ampta Yogyakarta,0.030371139,0.035870516,0.058823529,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.644958583
AMIK BSI Yogyakarta,0.013226141,0.015748031,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.649243073
Universitas Aisyiyah Yogyakarta (Unisa),0.071605579,0.084864392,0.220588235,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0.363636364,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.666666667,0.646101114
STIKES Guna Bangsa Yogyakarta,0.025847165,0.029746282,0.073529412,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.662096544
Akademi Keperawatan Notokusumo,0.015531351,0.017497813,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.664952871
Universitas Gunung Kidul,0.022763947,0.026246719,0.073529412,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.659240217
Politeknik Muhammadiyah Yogyakarta,0.015070309,0.017497813,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.665524136
Sekolah Tinggi Ilmu Ekonomi Nusa Megar Kencana,0.009912402,0.011373578,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.666666667,0.660954013
Sekolah Tinggi Bahasa Asing LIA Yogyakarta,0.010402259,0.011373578,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.674093116
Akademi Manajemen Administrasi YPK Yogyakarta,0.007347856,0.007874016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.678377606
STIKES Yogyakarta,0.012592208,0.01312336,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.69151671
Akademi Keperawatan Panti Rapih Yogyakarta,0.014263485,0.014873141,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.695229934
Akademi Komunikasi Radya Binatama,0.007722453,0.007874016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.693230506
Sekolah Tinggi Ilmu Ekonomi Isti Ekatana Upaweda,0.017980636,0.019247594,0.044117647,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.690088546
Sekolah Tinggi Ilmu Kesehatan Surya Global,0.096501844,0.098862642,0.044117647,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.703513282
Sekolah Tinggi Ilmu Manajemen Ykpn,0.01642462,0.016622922,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.703798915
Akademi Kebidanan Nyai Ahmad Dahlan,0.002103504,0.001749781,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.707512139
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,0.012275242,0.012248469,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.704084547
Sekolah Tinggi Ilmu Kesehatan Achmad Yani Yogya,0.045873675,0.046369204,0.044117647,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.715509854
Akademi Teknik Radiodiagnostik dan Radioterapi (ATRO),0.007780083,0.006999125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.731790917
STISIP Kartika Bangsa,0.019479023,0.018372703,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.726649529
Akademi Pariwisata Stipary,0.011958276,0.010498688,0.014705882,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.752927735
Akademi Analis Kesehatan Manggala Yogyakarta,0.006685108,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.776063982
STMIK Jenderal Achmad Yani,0.017836561,0.014873141,0.029411765,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.77263639
Sekolah Tinggi Ekonomi Islam (STEI Yogyakarta),0.007002075,0.005249344,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.79291631
Akademi Seni Rupa Dan Desain MSD,0.008097049,0.007874016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.090909091,1,1,0,1,1,1,1,0,0,1,0,1,1,0.666666667,0.333333333,0.80891174
