Jumlah Mahasiswa,Jumlah Dosen,Jumlah Program Studi,Fasilitas Olahraga,Wisma/Asrama/Hotel,Teknologi Informasi,Public Area,PERS Mahasiswa,Asuransi,Gedung Pertemuan,Laboratorium,Poliklinik,Bus Kampus,Kalender Pendidikan,Pusat Pelatihan Bahasa,Perpustakaan,Sarana Ibadah,Free Hotspot,Jumlah Fasilitas,Bus Umum,Restaurant,Tempat Ibadah,Kos/Asrama,Terminal Bus,Café,Tempat Olahraga,Bandara,Mall,Rumah Sakit,Stasiun Kereta,Supermarket,Apotek,Jumlah Tempat Umum Terdekat,Akreditasi,Ranking Nasional
17437,437,43,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,0,1,1,0,1,1,11,2,131
2021,85,11,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,135
2762,199,12,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,0,0,1,1,0,0,0,0,0,1,0,0,1,5,1,137
13176,426,32,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,3,148
3657,97,11,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,7,1,1,1,1,1,1,1,0,0,1,1,1,1,11,2,152
5598,264,28,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,5,0,1,1,1,1,0,0,0,0,1,0,0,0,5,2,156
3232,103,15,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,6,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,169
6534,116,12,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,180
6565,192,10,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,7,1,1,1,1,1,1,1,0,1,1,1,1,1,12,2,189
34666,727,16,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,0,0,1,1,1,1,11,2,191
3786,87,12,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,198
18281,428,42,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,3,203
2393,45,13,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,210
8048,171,17,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,211
3843,147,19,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,222
1166,56,3,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,6,1,1,1,1,1,1,1,0,0,1,1,1,1,11,2,228
3711,142,20,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,232
282,20,3,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,6,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,235
3015,101,13,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,241
1848,81,14,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,8,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,258
5822,179,17,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,6,1,1,1,1,1,1,1,0,1,1,0,1,1,11,2,261
2111,95,18,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,268
3179,104,7,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,266
1275,50,14,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,9,1,1,1,1,1,1,1,0,1,1,0,1,1,11,1,274
2977,91,10,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,283
3268,135,16,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,293
320,13,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,7,1,1,1,1,1,1,1,0,1,1,1,1,1,12,1,306
13879,364,20,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,0,1,1,1,1,1,12,2,322
213,21,2,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,8,1,1,1,1,1,1,1,0,1,1,1,1,1,12,1,327
3902,76,7,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2,329
5973,81,13,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,332
268,43,7,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,11,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,343
456,38,9,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,358
4133,99,10,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,367
1401,90,15,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,368
2118,57,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,372
2038,141,20,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,386
1489,39,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,407
7338,146,10,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,8,1,1,1,1,1,1,1,0,1,1,0,1,1,11,2,441
714,29,6,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,448
2198,85,12,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,452
115,19,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,465
108,13,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,480
134,9,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,504
223,15,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,2,472
322,12,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,479
837,123,10,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,513
180,8,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,574
465,21,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1,1,1,1,1,1,1,0,0,1,0,1,1,10,1,526
